Sample,Mut_type,Mut_num,Cover_num,Mut_ratio,Pass_num,Count
33A-EMX1-PD_rep1,CT,2,6,0.1,2,165104
33A-EMX1-PD_rep1,GA,2,6,0.1,2,164074
33A-EMX1-PD_rep1,CT,2,6,0.1,3,30539
33A-EMX1-PD_rep1,GA,2,6,0.1,3,30593
33A-EMX1-PD_rep1,CT,2,6,0.1,4,5361
33A-EMX1-PD_rep1,GA,2,6,0.1,4,5387
33A-EMX1-PD_rep1,CT,2,6,0.1,5,944
33A-EMX1-PD_rep1,GA,2,6,0.1,5,931
33A-EMX1-PD_rep1,CT,2,7,0.1,0,694574
33A-EMX1-PD_rep1,GA,2,7,0.1,0,690651
33A-EMX1-PD_rep1,CT,2,7,0.1,1,694574
33A-EMX1-PD_rep1,GA,2,7,0.1,1,690651
33A-EMX1-PD_rep1,CT,2,7,0.1,2,139592
33A-EMX1-PD_rep1,GA,2,7,0.1,2,138641
33A-EMX1-PD_rep1,CT,2,7,0.1,3,25764
33A-EMX1-PD_rep1,GA,2,7,0.1,3,25773
33A-EMX1-PD_rep1,CT,2,7,0.1,4,4530
33A-EMX1-PD_rep1,GA,2,7,0.1,4,4525
33A-EMX1-PD_rep1,CT,2,7,0.1,5,795
33A-EMX1-PD_rep1,GA,2,7,0.1,5,779
33A-EMX1-PD_rep1,CT,2,8,0.1,0,569999
33A-EMX1-PD_rep1,GA,2,8,0.1,0,566713
33A-EMX1-PD_rep1,CT,2,8,0.1,1,569999
33A-EMX1-PD_rep1,GA,2,8,0.1,1,566713
33A-EMX1-PD_rep1,CT,2,8,0.1,2,113716
33A-EMX1-PD_rep1,GA,2,8,0.1,2,113216
33A-EMX1-PD_rep1,CT,2,8,0.1,3,20916
33A-EMX1-PD_rep1,GA,2,8,0.1,3,21076
33A-EMX1-PD_rep1,CT,2,8,0.1,4,3666
33A-EMX1-PD_rep1,GA,2,8,0.1,4,3715
33A-EMX1-PD_rep1,CT,2,8,0.1,5,684
33A-EMX1-PD_rep1,GA,2,8,0.1,5,647
33A-EMX1-PD_rep1,CT,2,9,0.1,0,452708
33A-EMX1-PD_rep1,GA,2,9,0.1,0,449856
33A-EMX1-PD_rep1,CT,2,9,0.1,1,452708
33A-EMX1-PD_rep1,GA,2,9,0.1,1,449856
33A-EMX1-PD_rep1,CT,2,9,0.1,2,89816
33A-EMX1-PD_rep1,GA,2,9,0.1,2,89258
33A-EMX1-PD_rep1,CT,2,9,0.1,3,16515
33A-EMX1-PD_rep1,GA,2,9,0.1,3,16578
33A-EMX1-PD_rep1,CT,2,9,0.1,4,2912
33A-EMX1-PD_rep1,GA,2,9,0.1,4,2958
33A-EMX1-PD_rep1,CT,2,9,0.1,5,539
33A-EMX1-PD_rep1,GA,2,9,0.1,5,525
33A-EMX1-PD_rep1,CT,3,4,0.1,0,81211
33A-EMX1-PD_rep1,GA,3,4,0.1,0,80286
33A-EMX1-PD_rep1,CT,3,4,0.1,1,81211
33A-EMX1-PD_rep1,GA,3,4,0.1,1,80286
33A-EMX1-PD_rep1,CT,3,4,0.1,2,6106
33A-EMX1-PD_rep1,GA,3,4,0.1,2,6005
33A-EMX1-PD_rep1,CT,3,4,0.1,3,611
33A-EMX1-PD_rep1,GA,3,4,0.1,3,593
33A-EMX1-PD_rep1,CT,3,4,0.1,4,82
33A-EMX1-PD_rep1,GA,3,4,0.1,4,74
33A-EMX1-PD_rep1,CT,3,4,0.1,5,14
33A-EMX1-PD_rep1,GA,3,4,0.1,5,14
33A-EMX1-PD_rep1,CT,3,5,0.1,0,76836
33A-EMX1-PD_rep1,GA,3,5,0.1,0,76114
33A-EMX1-PD_rep1,CT,3,5,0.1,1,76836
33A-EMX1-PD_rep1,GA,3,5,0.1,1,76114
33A-EMX1-PD_rep1,CT,3,5,0.1,2,5794
33A-EMX1-PD_rep1,GA,3,5,0.1,2,5722
33A-EMX1-PD_rep1,CT,3,5,0.1,3,578
33A-EMX1-PD_rep1,GA,3,5,0.1,3,549
33A-EMX1-PD_rep1,CT,3,5,0.1,4,76
33A-EMX1-PD_rep1,GA,3,5,0.1,4,68
33A-EMX1-PD_rep1,CT,3,5,0.1,5,12
33A-EMX1-PD_rep1,GA,3,5,0.1,5,13
33A-EMX1-PD_rep1,CT,3,6,0.1,0,71088
33A-EMX1-PD_rep1,GA,3,6,0.1,0,70222
33A-EMX1-PD_rep1,CT,3,6,0.1,1,71088
33A-EMX1-PD_rep1,GA,3,6,0.1,1,70222
33A-EMX1-PD_rep1,CT,3,6,0.1,2,5387
33A-EMX1-PD_rep1,GA,3,6,0.1,2,5284
33A-EMX1-PD_rep1,CT,3,6,0.1,3,530
33A-EMX1-PD_rep1,GA,3,6,0.1,3,497
33A-EMX1-PD_rep1,CT,3,6,0.1,4,65
33A-EMX1-PD_rep1,GA,3,6,0.1,4,59
33A-EMX1-PD_rep1,CT,3,6,0.1,5,11
33A-EMX1-PD_rep1,GA,3,6,0.1,5,11
33A-EMX1-PD_rep1,CT,3,7,0.1,0,63926
33A-EMX1-PD_rep1,GA,3,7,0.1,0,63138
33A-EMX1-PD_rep1,CT,3,7,0.1,1,63926
33A-EMX1-PD_rep1,GA,3,7,0.1,1,63138
33A-EMX1-PD_rep1,CT,3,7,0.1,2,4856
33A-EMX1-PD_rep1,GA,3,7,0.1,2,4753
33A-EMX1-PD_rep1,CT,3,7,0.1,3,471
33A-EMX1-PD_rep1,GA,3,7,0.1,3,444
33A-EMX1-PD_rep1,CT,3,7,0.1,4,53
33A-EMX1-PD_rep1,GA,3,7,0.1,4,53
33A-EMX1-PD_rep1,CT,3,7,0.1,5,11
33A-EMX1-PD_rep1,GA,3,7,0.1,5,10
33A-EMX1-PD_rep1,CT,3,8,0.1,0,55851
33A-EMX1-PD_rep1,GA,3,8,0.1,0,55290
33A-EMX1-PD_rep1,CT,3,8,0.1,1,55851
33A-EMX1-PD_rep1,GA,3,8,0.1,1,55290
33A-EMX1-PD_rep1,CT,3,8,0.1,2,4280
33A-EMX1-PD_rep1,GA,3,8,0.1,2,4205
33A-EMX1-PD_rep1,CT,3,8,0.1,3,406
33A-EMX1-PD_rep1,GA,3,8,0.1,3,403
33A-EMX1-PD_rep1,CT,3,8,0.1,4,47
33A-EMX1-PD_rep1,GA,3,8,0.1,4,50
33A-EMX1-PD_rep1,CT,3,8,0.1,5,10
33A-EMX1-PD_rep1,GA,3,8,0.1,5,10
33A-EMX1-PD_rep1,CT,3,9,0.1,0,47527
33A-EMX1-PD_rep1,GA,3,9,0.1,0,46727
33A-EMX1-PD_rep1,CT,3,9,0.1,1,47527
33A-EMX1-PD_rep1,GA,3,9,0.1,1,46727
33A-EMX1-PD_rep1,CT,3,9,0.1,2,3669
33A-EMX1-PD_rep1,GA,3,9,0.1,2,3575
33A-EMX1-PD_rep1,CT,3,9,0.1,3,342
33A-EMX1-PD_rep1,GA,3,9,0.1,3,336
33A-EMX1-PD_rep1,CT,3,9,0.1,4,37
33A-EMX1-PD_rep1,GA,3,9,0.1,4,39
33A-EMX1-PD_rep1,CT,3,9,0.1,5,9
33A-EMX1-PD_rep1,GA,3,9,0.1,5,9
33A-EMX1-PD_rep1,CT,4,4,0.1,0,16125
33A-EMX1-PD_rep1,GA,4,4,0.1,0,15825
33A-EMX1-PD_rep1,CT,4,4,0.1,1,16125
33A-EMX1-PD_rep1,GA,4,4,0.1,1,15825
33A-EMX1-PD_rep1,CT,4,4,0.1,2,744
33A-EMX1-PD_rep1,GA,4,4,0.1,2,706
33A-EMX1-PD_rep1,CT,4,4,0.1,3,73
33A-EMX1-PD_rep1,GA,4,4,0.1,3,66
33A-EMX1-PD_rep1,CT,4,4,0.1,4,9
33A-EMX1-PD_rep1,GA,4,4,0.1,4,12
33A-EMX1-PD_rep1,CT,4,4,0.1,5,2
33A-EMX1-PD_rep1,GA,4,4,0.1,5,3
33A-EMX1-PD_rep1,CT,4,5,0.1,0,15129
33A-EMX1-PD_rep1,GA,4,5,0.1,0,14956
33A-EMX1-PD_rep1,CT,4,5,0.1,1,15129
33A-EMX1-PD_rep1,GA,4,5,0.1,1,14956
33A-EMX1-PD_rep1,CT,4,5,0.1,2,723
33A-EMX1-PD_rep1,GA,4,5,0.1,2,685
33A-EMX1-PD_rep1,CT,4,5,0.1,3,72
33A-EMX1-PD_rep1,GA,4,5,0.1,3,64
33A-EMX1-PD_rep1,CT,4,5,0.1,4,9
33A-EMX1-PD_rep1,GA,4,5,0.1,4,12
33A-EMX1-PD_rep1,CT,4,5,0.1,5,2
33A-EMX1-PD_rep1,GA,4,5,0.1,5,3
33A-EMX1-PD_rep1,CT,4,6,0.1,0,14031
33A-EMX1-PD_rep1,GA,4,6,0.1,0,13824
33A-EMX1-PD_rep1,CT,4,6,0.1,1,14031
33A-EMX1-PD_rep1,GA,4,6,0.1,1,13824
33A-EMX1-PD_rep1,CT,4,6,0.1,2,692
33A-EMX1-PD_rep1,GA,4,6,0.1,2,655
33A-EMX1-PD_rep1,CT,4,6,0.1,3,64
33A-EMX1-PD_rep1,GA,4,6,0.1,3,61
33A-EMX1-PD_rep1,CT,4,6,0.1,4,8
33A-EMX1-PD_rep1,GA,4,6,0.1,4,10
33A-EMX1-PD_rep1,CT,4,6,0.1,5,2
33A-EMX1-PD_rep1,GA,4,6,0.1,5,3
33A-EMX1-PD_rep1,CT,4,7,0.1,0,12750
33A-EMX1-PD_rep1,GA,4,7,0.1,0,12581
33A-EMX1-PD_rep1,CT,4,7,0.1,1,12750
33A-EMX1-PD_rep1,GA,4,7,0.1,1,12581
33A-EMX1-PD_rep1,CT,4,7,0.1,2,659
33A-EMX1-PD_rep1,GA,4,7,0.1,2,616
33A-EMX1-PD_rep1,CT,4,7,0.1,3,59
33A-EMX1-PD_rep1,GA,4,7,0.1,3,57
33A-EMX1-PD_rep1,CT,4,7,0.1,4,7
33A-EMX1-PD_rep1,GA,4,7,0.1,4,10
33A-EMX1-PD_rep1,CT,4,7,0.1,5,2
33A-EMX1-PD_rep1,GA,4,7,0.1,5,3
33A-EMX1-PD_rep1,CT,4,8,0.1,0,11443
33A-EMX1-PD_rep1,GA,4,8,0.1,0,11297
33A-EMX1-PD_rep1,CT,4,8,0.1,1,11443
33A-EMX1-PD_rep1,GA,4,8,0.1,1,11297
33A-EMX1-PD_rep1,CT,4,8,0.1,2,624
33A-EMX1-PD_rep1,GA,4,8,0.1,2,584
33A-EMX1-PD_rep1,CT,4,8,0.1,3,57
33A-EMX1-PD_rep1,GA,4,8,0.1,3,54
33A-EMX1-PD_rep1,CT,4,8,0.1,4,6
33A-EMX1-PD_rep1,GA,4,8,0.1,4,10
33A-EMX1-PD_rep1,CT,4,8,0.1,5,1
33A-EMX1-PD_rep1,GA,4,8,0.1,5,3
33A-EMX1-PD_rep1,CT,4,9,0.1,0,10109
33A-EMX1-PD_rep1,GA,4,9,0.1,0,9970
33A-EMX1-PD_rep1,CT,4,9,0.1,1,10109
33A-EMX1-PD_rep1,GA,4,9,0.1,1,9970
33A-EMX1-PD_rep1,CT,4,9,0.1,2,563
33A-EMX1-PD_rep1,GA,4,9,0.1,2,526
33A-EMX1-PD_rep1,CT,4,9,0.1,3,51
33A-EMX1-PD_rep1,GA,4,9,0.1,3,51
33A-EMX1-PD_rep1,CT,4,9,0.1,4,4
33A-EMX1-PD_rep1,GA,4,9,0.1,4,10
33A-EMX1-PD_rep1,CT,4,9,0.1,5,1
33A-EMX1-PD_rep1,GA,4,9,0.1,5,3
33A-EMX1-PD_rep1,CT,5,4,0.1,0,7093
33A-EMX1-PD_rep1,GA,5,4,0.1,0,6928
33A-EMX1-PD_rep1,CT,5,4,0.1,1,7093
33A-EMX1-PD_rep1,GA,5,4,0.1,1,6928
33A-EMX1-PD_rep1,CT,5,4,0.1,2,238
33A-EMX1-PD_rep1,GA,5,4,0.1,2,213
33A-EMX1-PD_rep1,CT,5,4,0.1,3,18
33A-EMX1-PD_rep1,GA,5,4,0.1,3,21
33A-EMX1-PD_rep1,CT,5,4,0.1,4,3
33A-EMX1-PD_rep1,GA,5,4,0.1,4,7
33A-EMX1-PD_rep1,CT,5,4,0.1,5,0
33A-EMX1-PD_rep1,GA,5,4,0.1,5,2
33A-EMX1-PD_rep1,CT,5,5,0.1,0,7093
33A-EMX1-PD_rep1,GA,5,5,0.1,0,6928
33A-EMX1-PD_rep1,CT,5,5,0.1,1,7093
33A-EMX1-PD_rep1,GA,5,5,0.1,1,6928
33A-EMX1-PD_rep1,CT,5,5,0.1,2,238
33A-EMX1-PD_rep1,GA,5,5,0.1,2,213
33A-EMX1-PD_rep1,CT,5,5,0.1,3,18
33A-EMX1-PD_rep1,GA,5,5,0.1,3,21
33A-EMX1-PD_rep1,CT,5,5,0.1,4,3
33A-EMX1-PD_rep1,GA,5,5,0.1,4,7
33A-EMX1-PD_rep1,CT,5,5,0.1,5,0
33A-EMX1-PD_rep1,GA,5,5,0.1,5,2
33A-EMX1-PD_rep1,CT,5,6,0.1,0,6493
33A-EMX1-PD_rep1,GA,5,6,0.1,0,6306
33A-EMX1-PD_rep1,CT,5,6,0.1,1,6493
33A-EMX1-PD_rep1,GA,5,6,0.1,1,6306
33A-EMX1-PD_rep1,CT,5,6,0.1,2,233
33A-EMX1-PD_rep1,GA,5,6,0.1,2,208
33A-EMX1-PD_rep1,CT,5,6,0.1,3,18
33A-EMX1-PD_rep1,GA,5,6,0.1,3,21
33A-EMX1-PD_rep1,CT,5,6,0.1,4,3
